DT,Message,Severity
2019-06-09 06:06:20,syslogd 1.4.1: restart.,0
2019-06-09 06:06:20,syslog: syslogd startup succeeded,0
2019-06-09 06:06:20,syslog: klogd startup succeeded,0
2019-06-09 06:06:20,"kernel: klogd 1.4.1, log source = /proc/kmsg started.",0
2019-06-09 06:06:20,kernel: Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,0
2019-06-09 06:06:20,kernel: BIOS-provided physical RAM map:,0
2019-06-09 06:06:20,kernel:  BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),0
2019-06-09 06:06:20,kernel:  BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),0
2019-06-09 06:06:20,kernel:  BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),0
2019-06-09 06:06:20,kernel:  BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),0
2019-06-09 06:06:20,kernel:  BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),0
2019-06-09 06:06:20,kernel: 0MB HIGHMEM available.,0
2019-06-09 06:06:20,kernel: 126MB LOWMEM available.,0
2019-06-09 06:06:20,kernel: zapping low mappings.,0
2019-06-09 06:06:20,kernel: On node 0 totalpages: 32430,0
2019-06-09 06:06:20,"kernel:   DMA zone: 4096 pages, LIFO batch:1",0
2019-06-09 06:06:20,"kernel:   Normal zone: 28334 pages, LIFO batch:6",0
2019-06-09 06:06:20,"kernel:   HighMem zone: 0 pages, LIFO batch:1",0
2019-06-09 06:06:20,kernel: DMI 2.3 present.,0
2019-06-09 06:06:20,kernel: ACPI disabled because your bios is from 2000 and too old,0
2019-06-09 06:06:20,kernel: You can enable it with acpi=force,0
2019-06-09 06:06:20,kernel: Built 1 zonelists,0
2019-06-09 06:06:20,irqbalance: irqbalance startup succeeded,0
2019-06-09 06:06:20,kernel: Kernel command line: ro root=LABEL=/ rhgb quiet,0
2019-06-09 06:06:20,kernel: mapped 4G/4G trampoline to ffff3000.,0
2019-06-09 06:06:20,kernel: Initializing CPU#0,0
2019-06-09 06:06:20,portmap: portmap startup succeeded,0
2019-06-09 06:06:20,"kernel: CPU 0 irqstacks, hard=02345000 soft=02344000",0
2019-06-09 06:06:20,kernel: PID hash table entries: 512 (order 9: 4096 bytes),0
2019-06-09 06:06:20,kernel: Detected 731.214 MHz processor.,0
2019-06-09 06:06:20,kernel: Using tsc for high-res timesource,0
2019-06-09 06:06:20,kernel: Console: colour VGA+ 80x25,0
2019-06-09 06:06:20,"kernel: Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",0
2019-06-09 06:06:20,kernel: Calibrating delay loop... 1441.79 BogoMIPS,0
2019-06-09 06:06:20,kernel: Security Scaffold v1.0.0 initialized,0
2019-06-09 06:06:20,kernel: SELinux:  Initializing.,0
2019-06-09 06:06:20,kernel: SELinux:  Starting in permissive mode,0
2019-06-09 06:06:20,"kernel: There is already a security framework initialized, register_security failed.",1
2019-06-09 06:06:20,kernel: Failure registering capabilities with the kernel,1
2019-06-09 06:06:20,kernel: selinux_register_security:  Registering secondary module capability,0
2019-06-09 06:06:20,kernel: Capability LSM initialized,0
2019-06-09 06:06:20,"kernel: Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",0
2019-06-09 06:06:20,"kernel: Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",0
2019-06-09 06:06:20,"kernel: Mount-cache hash table entries: 512 (order: 0, 4096 bytes)",0
2019-06-09 06:06:20,rpc.statd[1605]: Version 1.0.6 Starting,0
2019-06-09 06:06:20,nfslock: rpc.statd startup succeeded,0
2019-06-09 06:06:20,"kernel: CPU: L1 I cache: 16K, L1 D cache: 16K",0
2019-06-09 06:06:21,kernel: CPU: L2 cache: 256K,0
2019-06-09 06:06:21,kernel: Intel machine check architecture supported.,0
2019-06-09 06:06:21,kernel: Intel machine check reporting enabled on CPU#0.,0
2019-06-09 06:06:21,kernel: CPU: Intel Pentium III (Coppermine) stepping 06,0
2019-06-09 06:06:21,kernel: Enabling fast FPU save and restore... done.,0
2019-06-09 06:06:21,kernel: Enabling unmasked SIMD FPU exception support... done.,0
2019-06-09 06:06:21,kernel: Checking 'hlt' instruction... OK.,0
