Date,Time,Hostname,Message,Severity,Process,PID,User,IP,Len
2019-06-09,06:06:20,combo ,restart.,0,syslogd 1.4.1,NULL,root,127.0.0.1,8
2019-06-09,06:06:20,combo ,syslogd startup succeeded,0,syslog,NULL,root,127.0.0.1,25
2019-06-09,06:06:20,combo ,klogd startup succeeded,0,syslog,NULL,root,127.0.0.1,23
2019-06-09,06:06:20,combo ,"klogd 1.4.1, log source = /proc/kmsg started.",0,kernel,NULL,root,127.0.0.1,45
2019-06-09,06:06:20,combo ,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,0,kernel,NULL,root,127.0.0.1,143
2019-06-09,06:06:20,combo ,BIOS-provided physical RAM map:,0,kernel,NULL,root,127.0.0.1,31
2019-06-09,06:06:20,combo , BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:20,combo , BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),0,kernel,NULL,root,127.0.0.1,58
2019-06-09,06:06:20,combo , BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:20,combo , BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),0,kernel,NULL,root,127.0.0.1,58
2019-06-09,06:06:20,combo , BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),0,kernel,NULL,root,127.0.0.1,58
2019-06-09,06:06:20,combo ,0MB HIGHMEM available.,0,kernel,NULL,root,127.0.0.1,22
2019-06-09,06:06:20,combo ,126MB LOWMEM available.,0,kernel,NULL,root,127.0.0.1,23
2019-06-09,06:06:20,combo ,zapping low mappings.,0,kernel,NULL,root,127.0.0.1,21
2019-06-09,06:06:20,combo ,On node 0 totalpages: 32430,0,kernel,NULL,root,127.0.0.1,27
2019-06-09,06:06:20,combo ,"  DMA zone: 4096 pages, LIFO batch:1",0,kernel,NULL,root,127.0.0.1,36
2019-06-09,06:06:20,combo ,"  Normal zone: 28334 pages, LIFO batch:6",0,kernel,NULL,root,127.0.0.1,40
2019-06-09,06:06:20,combo ,"  HighMem zone: 0 pages, LIFO batch:1",0,kernel,NULL,root,127.0.0.1,37
2019-06-09,06:06:20,combo ,DMI 2.3 present.,0,kernel,NULL,root,127.0.0.1,16
2019-06-09,06:06:20,combo ,ACPI disabled because your bios is from 2000 and too old,0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:20,combo ,You can enable it with acpi=force,0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:20,combo ,Built 1 zonelists,0,kernel,NULL,root,127.0.0.1,17
2019-06-09,06:06:20,combo ,irqbalance startup succeeded,0,irqbalance,NULL,root,127.0.0.1,28
2019-06-09,06:06:20,combo ,Kernel command line: ro root=LABEL=/ rhgb quiet,0,kernel,NULL,root,127.0.0.1,47
2019-06-09,06:06:20,combo ,mapped 4G/4G trampoline to ffff3000.,0,kernel,NULL,root,127.0.0.1,36
2019-06-09,06:06:20,combo ,Initializing CPU#0,0,kernel,NULL,root,127.0.0.1,18
2019-06-09,06:06:20,combo ,portmap startup succeeded,0,portmap,NULL,root,127.0.0.1,25
2019-06-09,06:06:20,combo ,"CPU 0 irqstacks, hard=02345000 soft=02344000",0,kernel,NULL,root,127.0.0.1,44
2019-06-09,06:06:20,combo ,PID hash table entries: 512 (order 9: 4096 bytes),0,kernel,NULL,root,127.0.0.1,49
2019-06-09,06:06:20,combo ,Detected 731.214 MHz processor.,0,kernel,NULL,root,127.0.0.1,31
2019-06-09,06:06:20,combo ,Using tsc for high-res timesource,0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:20,combo ,Console: colour VGA+ 80x25,0,kernel,NULL,root,127.0.0.1,26
2019-06-09,06:06:20,combo ,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",0,kernel,NULL,root,127.0.0.1,103
2019-06-09,06:06:20,combo ,Calibrating delay loop... 1441.79 BogoMIPS,0,kernel,NULL,root,127.0.0.1,42
2019-06-09,06:06:20,combo ,Security Scaffold v1.0.0 initialized,0,kernel,NULL,root,127.0.0.1,36
2019-06-09,06:06:20,combo ,SELinux:  Initializing.,0,kernel,NULL,root,127.0.0.1,23
2019-06-09,06:06:20,combo ,SELinux:  Starting in permissive mode,0,kernel,NULL,root,127.0.0.1,37
2019-06-09,06:06:20,combo ,"There is already a security framework initialized, register_security failed.",1,kernel,NULL,root,127.0.0.1,76
2019-06-09,06:06:20,combo ,Failure registering capabilities with the kernel,1,kernel,NULL,root,127.0.0.1,48
2019-06-09,06:06:20,combo ,selinux_register_security:  Registering secondary module capability,0,kernel,NULL,root,127.0.0.1,67
2019-06-09,06:06:20,combo ,Capability LSM initialized,0,kernel,NULL,root,127.0.0.1,26
2019-06-09,06:06:20,combo ,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",0,kernel,NULL,root,127.0.0.1,62
2019-06-09,06:06:20,combo ,"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",0,kernel,NULL,root,127.0.0.1,60
2019-06-09,06:06:20,combo ,"Mount-cache hash table entries: 512 (order: 0, 4096 bytes)",0,kernel,NULL,root,127.0.0.1,58
2019-06-09,06:06:20,combo ,Version 1.0.6 Starting,0,rpc.statd,[1605],root,127.0.0.1,22
2019-06-09,06:06:20,combo ,rpc.statd startup succeeded,0,nfslock,NULL,root,127.0.0.1,27
2019-06-09,06:06:20,combo ,"CPU: L1 I cache: 16K, L1 D cache: 16K",0,kernel,NULL,root,127.0.0.1,37
2019-06-09,06:06:21,combo ,CPU: L2 cache: 256K,0,kernel,NULL,root,127.0.0.1,19
2019-06-09,06:06:21,combo ,Intel machine check architecture supported.,0,kernel,NULL,root,127.0.0.1,43
2019-06-09,06:06:21,combo ,Intel machine check reporting enabled on CPU#0.,0,kernel,NULL,root,127.0.0.1,47
2019-06-09,06:06:21,combo ,CPU: Intel Pentium III (Coppermine) stepping 06,0,kernel,NULL,root,127.0.0.1,47
2019-06-09,06:06:21,combo ,Enabling fast FPU save and restore... done.,0,kernel,NULL,root,127.0.0.1,43
2019-06-09,06:06:21,combo ,Enabling unmasked SIMD FPU exception support... done.,0,kernel,NULL,root,127.0.0.1,53
2019-06-09,06:06:21,combo ,Checking 'hlt' instruction... OK.,0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:21,combo ,POSIX conformance testing by UNIFIX,0,kernel,NULL,root,127.0.0.1,35
2019-06-09,06:06:21,combo ,NET: Registered protocol family 16,0,kernel,NULL,root,127.0.0.1,34
2019-06-09,06:06:21,combo ,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",0,kernel,NULL,root,127.0.0.1,56
2019-06-09,06:06:21,combo ,PCI: Using configuration type 1,0,kernel,NULL,root,127.0.0.1,31
2019-06-09,06:06:21,combo ,mtrr: v2.0 (20020519),0,kernel,NULL,root,127.0.0.1,21
2019-06-09,06:06:21,combo ,ACPI: Subsystem revision 20040326,0,kernel,NULL,root,127.0.0.1,33
2019-06-09,06:06:21,combo ,ACPI: Interpreter disabled.,0,kernel,NULL,root,127.0.0.1,27
2019-06-09,06:06:21,combo ,Linux Plug and Play Support v0.97 (c) Adam Belay,0,kernel,NULL,root,127.0.0.1,48
2019-06-09,06:06:21,combo ,usbcore: registered new driver usbfs,0,kernel,NULL,root,127.0.0.1,36
2019-06-09,06:06:21,combo ,usbcore: registered new driver hub,0,kernel,NULL,root,127.0.0.1,34
2019-06-09,06:06:21,combo ,rpc.idmapd startup succeeded,0,rpcidmapd,NULL,root,127.0.0.1,28
2019-06-09,06:06:21,combo ,ACPI: ACPI tables contain no PCI IRQ routing entries,0,kernel,NULL,root,127.0.0.1,52
2019-06-09,06:06:21,combo ,PCI: Invalid ACPI-PCI IRQ routing table,0,kernel,NULL,root,127.0.0.1,39
2019-06-09,06:06:21,combo ,Initializing random number generator:  succeeded,0,random,NULL,root,127.0.0.1,48
2019-06-09,06:06:21,combo ,PCI: Probing PCI hardware,0,kernel,NULL,root,127.0.0.1,25
